personid,pageid,name,state,district,uniques_total,uniques_known,uniques_indistrict,posts_total,posts_known,posts_indistrict,comments_total,comments_known,comments_indistrict,postlikes_total,postlikes_known,postlikes_indistrict
400636,6377009769,Politician,"Rep. Charles Boustany [R, LA-7]",LA,7,155,3,0,121,4,0,44,1,0,101,0,0
300011,116513005087055,Government official,"Sen. Barbara Boxer [D, CA]",CA,,352,26,6,309,15,4,169,19,3,375,39,8
400046,9307301412,Government official,"Rep. Kevin Brady [R, TX-8]",TX,8,433,8,4,5,0,0,517,26,25,1197,11,7
400047,118845109487,Government official,"Rep. Robert Brady [D, PA-1]",PA,1,290,6,0,148,9,0,133,0,0,405,19,0
412208,15420665351,Politician,"Rep. Bruce Braley [D, IA-1]",IA,1,308,0,0,12,0,0,200,0,0,422,0,0
412395,155220881193244,Government official,"Rep. Mo Brooks [R, AL-5]",AL,5,429,5,2,330,1,0,284,2,0,535,5,4
412252,123908980957273,Public figure,"Rep. Paul Broun [R, GA-10]",GA,10,381,8,2,313,7,0,153,1,0,570,19,2
412384,141799555838816,Government official,"Sen. Scott Brown [R, MA]",MA,,392,4,2,315,1,1,195,3,3,324,2,0
400050,6266829799,Politician,"Sen. Sherrod Brown [D, OH]",OH,,907,4,2,0,0,0,850,0,0,1960,6,3
412196,67106719910,Government official,"Rep. Vern Buchanan [R, FL-13]",FL,13,357,2,2,306,0,0,263,0,0,474,2,2
412427,135670516492974,Government official,"Rep. Larry Bucshon [R, IN-8]",IN,8,182,4,1,184,9,6,277,11,9,435,4,4
412456,112695845462513,Government official,"Rep. Ann Marie Buerkle [R, NY-25]",NY,25,269,2,1,0,0,0,412,3,1,936,1,1
400052,6916472567,Politician,"Rep. Michael Burgess [R, TX-26]",TX,26,439,13,2,302,18,0,275,6,2,838,71,1
400054,16751806121,Politician,"Sen. Richard Burr [R, NC]",NC,,111,1,1,5,0,0,34,0,0,120,1,1
400055,6587960255,Government official,"Rep. Dan Burton [R, IN-5]",IN,5,360,35,1,231,33,2,295,24,0,911,74,0
400616,6442258513,Politician,"Rep. George Butterfield [D, NC-1]",NC,1,187,16,0,223,23,0,26,2,0,546,63,0
400058,6775033524,Government official,"Rep. David Camp [R, MI-4]",MI,4,302,14,0,293,10,0,49,3,0,491,55,0
412011,60546090739,Government official,"Rep. John Campbell [R, CA-48]",CA,48,247,7,0,0,0,0,218,6,0,508,14,0
412481,119706094764203,Government official,"Rep. Francisco Canseco [R, TX-23]",TX,23,364,6,2,266,5,1,235,4,4,653,4,0
400060,10325470529,Government official,"Rep. Eric Cantor [R, VA-7]",VA,7,246,5,0,419,3,0,679,0,0,785,12,0
300018,9351652533,Politician,"Sen. Maria Cantwell [D, WA]",WA,,445,10,6,351,10,5,119,1,1,267,15,5
400061,8057864757,Government official,"Rep. Shelley Capito [R, WV-2]",WV,2,477,7,0,283,15,0,215,1,0,776,14,0
400062,168989481141,Government official,"Rep. Lois Capps [D, CA-23]",CA,23,436,13,1,260,17,0,222,3,1,1061,156,0
400063,151168844937573,Government official,"Rep. Michael Capuano [D, MA-8]",MA,8,260,7,3,155,7,3,90,3,3,281,17,5
400064,120421834675191,Government official,"Sen. Benjamin Cardin [D, MD]",MD,,260,8,2,176,7,3,207,3,1,449,32,10
400065,169404667844,Government official,"Rep. Dennis Cardoza [D, CA-18]",CA,18,128,2,0,0,0,0,61,1,0,282,6,0
