personid,pageid,name,state,district,uniques_total,uniques_known,uniques_indistrict,posts_total,posts_known,posts_indistrict,comments_total,comments_known,comments_indistrict,postlikes_total,postlikes_known,postlikes_indistrict
400160,128735131872,"Rep. Raymond Green [D, TX-29]",TX,29,332,19,1,327,34,1,109,1,0,776,124,0
412401,151435304894144,"Rep. Tim Griffin [R, AR-2]",AR,2,380,4,1,1,0,0,595,2,0,1506,2,1
412485,141893975868919,"Rep. Morgan Griffith [R, VA-9]",VA,9,310,3,2,241,2,2,289,0,0,626,23,22
400162,73539896233,"Rep. Raul Grijalva [D, AZ-7]",AZ,7,659,10,0,5,0,0,645,5,0,1744,30,0
412447,172826269425545,"Rep. Frank Guinta [R, NH-1]",NH,1,185,2,2,2,0,0,185,2,2,586,1,1
412278,21836146886,"Rep. Brett Guthrie [R, KY-2]",KY,2,227,1,1,0,0,0,131,1,1,325,0,0
412324,7871449189,"Sen. Kay Hagan [D, NC]",NC,,458,13,8,350,9,6,292,5,5,673,42,21
412498,256471267712118,"Rep. Janice Hahn [D, CA-36]",CA,36,8,0,0,4,0,0,1,0,0,6,0,0
400165,6311458773,"Rep. Ralph Hall [R, TX-4]",TX,4,181,1,0,0,0,0,96,2,0,228,0,0
412418,169979129710178,"Rep. Colleen Hanabusa [D, HI-1]",HI,1,274,1,1,84,1,1,195,18,18,794,3,3
412454,172284859480630,"Rep. Richard Hanna [R, NY-24]",NY,24,205,1,0,101,0,0,180,0,0,373,1,0
300051,252422916567,"Sen. Thomas Harkin [D, IA]",IA,,415,8,1,292,11,4,151,3,0,456,22,0
412280,48248435938,"Rep. Gregg Harper [R, MS-3]",MS,3,443,14,0,364,28,0,187,1,0,1049,87,0
412444,183580061667324,"Rep. Vicky Hartzler [R, MO-4]",MO,4,209,2,2,2,0,0,246,5,5,473,0,0
400170,95696782238,"Rep. Alcee Hastings [D, FL-23]",FL,23,135,1,0,0,0,0,0,0,0,399,10,0
400171,7507129675,"Rep. Doc Hastings [R, WA-4]",WA,4,150,2,1,25,0,0,96,3,1,258,1,1
300052,46877272444,"Sen. Orrin Hatch [R, UT]",UT,,326,3,1,256,2,0,67,1,0,301,4,1
412452,179470318754613,"Rep. Nan Hayworth [R, NY-19]",NY,19,339,7,1,270,8,0,378,0,0,945,18,1
412446,155211751194624,"Rep. Joe Heck [R, NV-3]",NV,3,203,1,1,0,0,0,171,2,2,432,2,2
400175,7875604788,"Rep. Jeb Hensarling [R, TX-5]",TX,5,273,3,1,0,0,0,189,2,0,449,3,2
400176,106290861103,"Rep. Walter Herger [R, CA-2]",CA,2,98,0,0,1,0,0,56,0,0,155,0,0
412486,177551525610164,"Rep. Jaime Herrera Beutler [R, WA-3]",WA,3,210,0,0,116,0,0,89,0,0,213,0,0
400641,88144056440,"Rep. Brian Higgins [D, NY-27]",NY,27,287,1,1,6,0,0,192,0,0,567,2,2
412282,85767418619,"Rep. James Himes [D, CT-4]",CT,4,191,0,0,0,0,0,165,0,0,577,0,0
400178,7842551363,"Rep. Maurice Hinchey [D, NY-22]",NY,22,453,5,3,271,3,1,255,1,1,546,6,2
400179,402891225161,"Rep. Rubén Hinojosa [D, TX-15]",TX,15,164,1,0,0,0,0,101,1,0,500,0,0
412497,173600989370112,"Rep. Kathleen Hochul [D, NY-26]",NY,26,63,1,1,9,0,0,38,0,0,148,4,4
412494,194483057244478,"Sen. John Hoeven [R, ND]",ND,,208,4,0,104,4,0,78,1,0,319,22,0
400183,239695980964,"Rep. Tim Holden [D, PA-17]",PA,17,88,0,0,0,0,0,42,0,0,105,0,0
400184,8059450778,"Rep. Rush Holt [D, NJ-12]",NJ,12,474,1,1,337,0,0,254,1,1,551,3,3
400185,15675385380,"Rep. Michael Honda [D, CA-15]",CA,15,441,6,0,325,6,0,195,1,0,392,7,0
400189,282861997886,"Rep. Steny Hoyer [D, MD-5]",MD,5,382,0,0,1,0,0,342,0,0,953,0,0
412437,145764842143763,"Rep. Bill Huizenga [R, MI-2]",MI,2,382,8,0,188,9,0,243,0,0,791,27,0
412422,186221644739359,"Rep. Randy Hultgren [R, IL-14]",IL,14,279,0,0,291,0,0,427,0,0,698,0,0
412283,79072979038,"Rep. Duncan Hunter [R, CA-52]",CA,52,434,9,1,300,10,0,225,3,0,564,46,3
412484,120068161395562,"Rep. Robert Hurt [R, VA-5]",VA,5,269,6,1,229,7,0,361,2,1,951,27,1
300054,110827655618837,"Sen. Kay Hutchison [R, TX]",TX,,371,7,6,318,20,17,209,1,1,462,2,1
300055,55018309421,"Sen. James Inhofe [R, OK]",OK,,382,12,7,250,9,5,226,5,4,554,29,2
400193,6227578465,"Rep. Jay Inslee [D, WA-1]",WA,1,521,16,3,405,25,4,88,0,0,606,107,0
400194,86611900672,"Sen. John Isakson [R, GA]",GA,,388,4,2,2,0,0,157,4,3,498,1,0
400198,16250110021,"Rep. Jesse Jackson [D, IL-2]",IL,2,208,2,0,1,0,0,96,0,0,273,5,0
400199,169479190984,"Rep. Sheila Jackson-Lee [D, TX-18]",TX,18,210,8,0,0,0,0,86,7,0,274,12,0
412284,6974973662,"Rep. Lynn Jenkins [R, KS-2]",KS,2,316,4,1,241,5,0,258,0,0,617,22,1
412320,399357233834,"Sen. Mike Johanns [R, NE]",NE,,352,5,4,0,0,0,315,27,26,811,9,9
412460,170477096312258,"Rep. Bill Johnson [R, OH-6]",OH,6,164,1,0,1,0,0,218,0,0,529,1,0
400204,84096022067,"Rep. Eddie Johnson [D, TX-30]",TX,30,204,1,1,1,0,0,123,0,0,629,1,1
412199,115356957005,"Rep. Henry Johnson [D, GA-4]",GA,4,186,0,0,1,0,0,106,0,0,333,0,0
412496,186181661410703,"Sen. Ron Johnson [R, WI]",WI,,242,3,3,18,0,0,169,7,7,543,16,16
400206,52454091867,"Rep. Samuel Johnson [R, TX-3]",TX,3,267,0,0,0,0,0,297,0,0,889,0,0
300058,181659658522485,"Sen. Tim Johnson [D, SD]",SD,,286,2,2,0,0,0,214,1,1,771,1,1
400207,111124328962250,"Rep. Timothy Johnson [R, IL-15]",IL,15,85,1,0,0,0,0,47,0,0,145,11,0
400209,15083070102,"Rep. Walter Jones [R, NC-3]",NC,3,382,8,0,397,18,0,58,0,0,436,24,0
412226,35499336459,"Rep. Jim Jordan [R, OH-4]",OH,4,304,7,0,353,9,0,62,0,0,365,16,0
400211,6225522279,"Rep. Marcy Kaptur [D, OH-9]",OH,9,416,7,1,438,3,0,193,0,0,283,12,3
412435,183092598372008,"Rep. William Keating [D, MA-10]",MA,10,105,0,0,3,0,0,32,0,0,270,0,0
412465,191056827594903,"Rep. Mike Kelly [R, PA-3]",PA,3,102,5,1,177,4,2,96,3,0,153,8,0
300060,6685427293,"Sen. John Kerry [D, MA]",MA,,300,4,1,134,3,1,134,1,0,346,5,0
400216,107229849424,"Rep. Dale Kildee [D, MI-5]",MI,5,56,0,0,0,0,0,42,0,0,91,0,0
400219,6473387426,"Rep. Peter King [R, NY-3]",NY,3,200,0,0,246,0,0,112,0,0,107,0,0
